sample_id,n_total,auto_insula,auto_PrCO_in_bbox,auto_PrCO_outside,auto_other_in_bbox,auto_other_outside,recoverable
251730,79,0,0,0,0,79,0
252383,127,0,0,0,0,127,0
252384,99,0,0,0,0,99,0
252385,128,0,6,15,2,105,8
