"NeuronUID","SampleID","NeuronID","Neuron_Type","Soma_Region_Auto","Soma_Region_Refined","Soma_Region_Source","Soma_Side","Soma_Side_Inferred","Soma_NII_X","Soma_NII_Y","Soma_NII_Z","Soma_Phys_X","Soma_Phys_Y","Soma_Phys_Z","Total_Length","Terminal_Count","N_Ipsilateral","N_Contralateral","N_Laterality_Unknown","Laterality_Index","Soma_Side_Final","Soma_Region_Final","gou_auto","gou_cog","gou_emo","gou_memory","gou_motor","gou_sens"
"251637::026.swc","251637","026.swc","ITi","R-IAL","IAL","curated_251637","R","R",191.7852,218.7924,82.9288,47946.3,54698.1,20732.2,1542.80999999993,12,11,0,1,0,"R","IAL",0,0.224295917659762,0.453703428531804,0,0.322000653808434,0
"251637::027.swc","251637","027.swc","ITi","R-IAL","IAL","curated_251637","R","R",193.0152,217.7156,82.3568,48253.8,54428.9,20589.2,89.763000000001,3,2,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::028.swc","251637","028.swc","ITi","R-IAL","IAL","curated_251637","R","R",193.8492,216.6076,83.242,48462.3,54151.9,20810.5,717.24899999999,9,8,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::029.swc","251637","029.swc","ITi","R-IAL","IAL","curated_251637","R","R",193.3416,216.4336,84.4272,48335.4,54108.4,21106.8,1258.93899999996,10,9,0,1,0,"R","IAL",0,0,0.262142849536224,0,0.281034684727857,0.204381116684238
"251637::030.swc","251637","030.swc","ITc","R-IAL","IAL","curated_251637","R","R",194.1228,214.8928,83.39,48530.7,53723.2,20847.5,496.030999999991,7,5,1,1,0.0402,"R","IAL",0,0,0.849660767491115,0,0,0
"251637::031.swc","251637","031.swc","ITs","R-IAL","IAL","curated_251637","R","R",193.5548,214.958,83.438,48388.7,53739.5,20859.5,975.26199999998,9,8,0,1,0,"R","IAL",0,0,0.329016342892384,0,0.670983657107616,0
"251637::032.swc","251637","032.swc","ITi","R-IAL","IAL","curated_251637","R","R",194.7116,216.9168,82.668,48677.9,54229.2,20667,210.2,5,4,0,1,0,"R","IAL",0,0,0.474046655763106,0,0.347787724885943,0.178165619350951
"251637::033.swc","251637","033.swc","PT","R-IAL","IAL","curated_251637","R","R",195.0572,216.4576,83.4552,48764.3,54114.4,20863.8,1263.51399999996,26,25,0,1,0,"R","IAL",0.314640863485469,0.0248279890951577,0.299382429851078,0,0.334832440051186,0.0263162775171084
"251637::034.swc","251637","034.swc","PT","R-IAL","IAL","curated_251637","R","R",193.9004,215.7588,85.3368,48475.1,53939.7,21334.2,713.439999999993,12,10,1,1,0.0405,"R","IAL",0.282399261999639,0,0.224747738922862,0,0.420650695679464,0
"251637::035.swc","251637","035.swc","ITi","R-IAL","IAL","curated_251637","R","R",192.7136,217.0748,87.0888,48178.4,54268.7,21772.2,46.943,2,2,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::036.swc","251637","036.swc","ITi","R-IAL","IAL","curated_251637","R","R",192.2992,216.6168,88.258,48074.8,54154.2,22064.5,527.934999999991,4,3,0,1,0,"R","IAL",0,0,0.65123546704097,0,0.34876453295903,0
"251637::037.swc","251637","037.swc","ITi","R-IAL","IAL","curated_251637","R","R",191.6184,217.5376,88.3672,47904.6,54384.4,22091.8,303.500999999997,5,4,0,1,0,"R","IAL",0,0,0.340551341652394,0,0.197108718701574,0
"251637::038.swc","251637","038.swc","ITi","R-IAL","IAL","curated_251637","R","R",193.2712,217.1596,88.5312,48317.8,54289.9,22132.8,596.653999999988,7,6,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::039.swc","251637","039.swc","ITi","R-IAL","IAL","curated_251637","R","R",192.4532,216.3524,87.5128,48113.3,54088.1,21878.2,425.648999999993,7,6,0,1,0,"R","IAL",0,0,0.357434982393532,0,0.30125219093938,0
"251637::040.swc","251637","040.swc","ITi","R-IAL","IAL","curated_251637","R","R",190.7596,218.4772,87.4568,47689.9,54619.3,21864.2,681.433999999989,8,7,0,1,0,"R","IAL",0,0.185295489612114,0.515447271161506,0,0.299257239226381,0
"251637::041.swc","251637","041.swc","ITi","R-IAL","IAL","curated_251637","R","R",190.6848,218.0716,87.4168,47671.2,54517.9,21854.2,117.686000000002,4,3,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::042.swc","251637","042.swc","ITi","R-IAL","IAL","curated_251637","R","R",189.7132,218.318,88.396,47428.3,54579.5,22099,283.127,4,3,0,1,0,"R","IAL",0,0,0.735733923422517,0,0.264266076577483,0
"251637::043.swc","251637","043.swc","ITc","R-IAL","IAL","curated_251637","R","R",192.4856,217.5132,85.706,48121.4,54378.3,21426.5,728.607999999985,6,3,2,1,0.1693,"R","IAL",0,0,0.381985829370086,0,0.338658643113656,0.279355527516257
"251637::044.swc","251637","044.swc","ITi","R-IAL","IAL","curated_251637","R","R",190.7284,214.1356,81.4728,47682.1,53533.9,20368.2,17.061,2,2,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::045.swc","251637","045.swc","ITs","R-IAL","IAL","curated_251637","R","R",189.3864,212.7516,81.9912,47346.6,53187.9,20497.8,273.095999999998,4,4,0,0,0,"R","IAL",0,0,0.444780420968085,0,0.491932626207744,0.0632869528241714
"251637::046.swc","251637","046.swc","ITs","R-IAL","IAL","curated_251637","R","R",189.052,212.2256,81.8272,47263,53056.4,20456.8,166.079000000001,3,3,0,0,0,"R","IAL",0,0,0.413145342606795,0,0.586854657393205,0
"251637::047.swc","251637","047.swc","ITi","R-IAL","IAL","curated_251637","R","R",188.9412,213.6328,81.5728,47235.3,53408.2,20393.2,23.5049999999999,1,1,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::048.swc","251637","048.swc","ITi","R-IAL","IAL","curated_251637","R","R",188.3532,214.7216,80.4992,47088.3,53680.4,20124.8,300.046999999995,4,3,0,1,0,"R","IAL",0,0,0.479413266490275,0,0,0
"251637::049.swc","251637","049.swc","ITi","R-IAL","IAL","curated_251637","R","R",188.0004,214.982,80.4592,47000.1,53745.5,20114.8,123.463000000001,4,3,0,1,0,"R","IAL",0,0,0.679578336693905,0,0.320421663306095,0
"251637::050.swc","251637","050.swc","ITi","R-IAL","IAL","curated_251637","R","R",188.4716,214.924,81.5312,47117.9,53731,20382.8,34.9669999999999,2,2,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::051.swc","251637","051.swc","ITi","R-IAL","IAL","curated_251637","R","R",187.5956,215.1468,82.3008,46898.9,53786.7,20575.2,633.294999999986,8,7,0,1,0,"R","IAL",0,0,0.536262710105831,0,0.463737289894169,0
"251637::052.swc","251637","052.swc","ITs","R-IAL","IAL","curated_251637","R","R",186.9008,216.7568,82.284,46725.2,54189.2,20571,2138.67499999997,9,8,0,1,0,"R","IAL",0,0,0.253890857216356,0,0.36060148969259,0.385507653091054
"251637::053.swc","251637","053.swc","ITi","R-IAL","IAL","curated_251637","R","R",188.1588,216.354,84.166,47039.7,54088.5,21041.5,159.043000000001,4,3,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::054.swc","251637","054.swc","ITs","R-IAL","IAL","curated_251637","R","R",189.0624,216.082,83.952,47265.6,54020.5,20988,305.190999999997,5,5,0,0,0,"R","IAL",0,0,0.330845515064169,0,0.669154484935831,0
"251637::055.swc","251637","055.swc","ITi","R-IAL","IAL","curated_251637","R","R",190.324,215.8128,84.92,47581,53953.2,21230,177.31,4,3,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::056.swc","251637","056.swc","ITi","R-IAL","IAL","curated_251637","R","R",190.0204,216.1248,84.9848,47505.1,54031.2,21246.2,269.350999999997,7,6,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::057.swc","251637","057.swc","ITs","R-IAL","IAL","curated_251637","R","R",190.1828,213.3236,85.566,47545.7,53330.9,21391.5,561.04999999999,7,6,0,1,0,"R","IAL",0,0,0.3851274281142,0,0.288053933502443,0
"251637::058.swc","251637","058.swc","ITi","R-IAL","IAL","curated_251637","R","R",188.8068,213.8368,86.386,47201.7,53459.2,21596.5,247.651999999998,5,5,0,0,0,"R","IAL",0,0,0.472763593841356,0,0,0
"251637::059.swc","251637","059.swc","ITi","R-IAL","IAL","curated_251637","R","R",187.5704,212.9916,84.6152,46892.6,53247.9,21153.8,102.189000000001,3,3,0,0,0,"R","IAL",0,0,0.59666731631261,0,0,0
"251637::060.swc","251637","060.swc","ITi","R-IAL","IAL","curated_251637","R","R",187.7796,212.3628,85.876,46944.9,53090.7,21469,629.744999999985,6,5,0,1,0,"R","IAL",0,0,0.569585214206626,0,0,0
