SampleID,NeuronID,Neuron_Type,Soma_Region,Total_Length,Terminal_Count,Terminal_List,Region_projection_length
251637,001.swc,IT,caudal_OFC,1106.1059999999675,6,"['caudal_OFC', 'Str', 'Unknown_0', 'floor_of_ls', 'Pd', 'spAmy']","{'caudal_OFC': 437.0469999999904, 'LPal': 14.370999999999988, 'Str': 241.15799999999905, 'spAmy': 8.566999999999993, 'Pd': 90.7060000000007, 'floor_of_ls': 119.19700000000209}"
251637,002.swc,IT,caudal_OFC,25.74899999999995,1,['caudal_OFC'],{'caudal_OFC': 25.74899999999995}
251637,003.swc,IT,caudal_OFC,65.41300000000045,2,"['caudal_OFC', 'Unknown_0']",{'caudal_OFC': 65.19300000000042}
251637,004.swc,IT,caudal_OFC,1537.6059999999275,6,"['caudal_OFC', 'Str', 'LPal', 'Pd', 'spAmy', 'Unknown_0']","{'caudal_OFC': 87.28300000000097, 'LPal': 55.41499999999999, 'Str': 1128.0559999999782, 'Pd': 152.90300000000096, 'spAmy': 1.7459999999999993}"
251637,005.swc,PT,caudal_OFC,610.9469999999884,9,"['caudal_OFC', 'VMed', 'Str', 'Pd', 'THy', 'ZI-H', 'spAmy', 'pAmy', 'Unknown_0']","{'caudal_OFC': 62.288999999999966, 'LPal': 8.035999999999998, 'Str': 64.23499999999991, 'Pd': 59.99999999999988, 'THy': 62.255999999999915, 'VMid': 24.581999999999976, 'ZI-H': 6.775999999999998, 'VPons': 45.05399999999994, 'VMed': 22.98499999999999, 'DSP': 31.449999999999974, 'spAmy': 69.5000000000001, 'pAmy': 96.6240000000007}"
251637,006.swc,IT,caudal_OFC,295.03099999999716,4,"['caudal_OFC', 'LPal', 'Unknown_0', 'M1/PM']","{'caudal_OFC': 117.32600000000116, 'M1/PM': 111.8530000000011, 'floor_of_ls': 6.690000000000002, 'LPal': 20.706}"
251637,007.swc,IT,caudal_OFC,439.48899999999514,7,"['caudal_OFC', 'Unknown_0', 'Str', 'LPal', 'lat_OFC', 'vlPFC', 'M1/PM']","{'caudal_OFC': 198.26899999999983, 'LPal': 41.77899999999998, 'Str': 55.68199999999988, 'Pd': 3.7620000000000005, 'lat_OFC': 38.18099999999994, 'vlPFC': 5.658999999999996, 'M1/PM': 35.784999999999954}"
251637,008.swc,CT,caudal_OFC,485.18799999999203,5,"['caudal_OFC', 'Unknown_0', 'Str', 'MThal', 'MLThal']","{'caudal_OFC': 51.527999999999906, 'LPal': 9.496000000000002, 'Str': 59.40999999999994, 'Rt': 4.715999999999997, 'VThal': 16.850999999999996, 'MThal': 119.59700000000142, 'MLThal': 162.1710000000015}"
251637,009.swc,CT,caudal_OFC,405.9859999999949,4,"['caudal_OFC', 'Unknown_0', 'MThal', 'MLThal']","{'caudal_OFC': 43.55199999999994, 'LPal': 8.502999999999998, 'Str': 50.53899999999991, 'Pd': 11.481999999999992, 'Rt': 1.2940000000000005, 'VThal': 16.166000000000004, 'MThal': 72.41100000000003, 'MLThal': 169.52100000000067}"
251637,010.swc,IT,caudal_OFC,553.3809999999908,7,"['caudal_OFC', 'LPal', 'Rh', 'floor_of_ls', 'TG', 'STSf', 'Unknown_0']","{'caudal_OFC': 82.30100000000063, 'LPal': 64.93400000000001, 'floor_of_ls': 96.41900000000061, 'VPal': 10.925000000000004, 'Rh': 180.1320000000005, 'STSf': 4.153999999999999, 'TG': 32.42699999999998, 'pAmy': 0.085}"
251637,011.swc,IT,caudal_OFC,43.00599999999997,1,['caudal_OFC'],{'caudal_OFC': 43.00599999999997}
251637,012.swc,IT,caudal_OFC,888.5009999999867,4,"['caudal_OFC', 'Unknown_0', 'M1/PM', 'SII']","{'caudal_OFC': 67.14600000000014, 'LPal': 6.430999999999997, 'SII': 166.9770000000012, 'M1/PM': 295.90799999999786}"
251637,013.swc,IT,caudal_OFC,4040.693999999744,12,"['caudal_OFC', 'Str', 'lat_OFC', 'Unknown_0', 'M1/PM', 'vlPFC', 'LPal', 'SII', 'SI', 'lat_IPS', 'area_7_in_IPL', 'floor_of_ls']","{'caudal_OFC': 238.69599999999838, 'LPal': 67.46599999999998, 'Str': 1750.2869999999627, 'Pd': 2.5929999999999995, 'spAmy': 2.6079999999999983, 'SII': 268.1669999999982, 'SI': 76.37800000000001, 'lat_IPS': 32.23399999999999, 'area_7_in_IPL': 34.28699999999993, 'floor_of_ls': 6.561, 'M1/PM': 752.5929999999844, 'vlPFC': 45.957999999999906, 'lat_OFC': 3.085}"
251637,014.swc,PT,caudal_OFC,375.2539999999975,7,"['caudal_OFC', 'Unknown_0', 'LPal', 'DSP', 'THy', 'VMid', 'Pd']","{'caudal_OFC': 109.02600000000137, 'LPal': 10.886999999999999, 'Str': 54.24399999999997, 'Pd': 21.99699999999998, 'Rt': 8.546999999999999, 'THy': 59.62699999999987, 'VMid': 18.132000000000005, 'ZI-H': 24.989999999999974, 'PHy': 0.7150000000000002, 'DSP': 14.045999999999996}"
251637,015.swc,IT,caudal_OFC,551.1699999999896,7,"['caudal_OFC', 'pAmy', 'Unknown_0', 'STSf', 'Str', 'TG', 'STGr/STSd']","{'caudal_OFC': 110.63400000000121, 'TG': 67.5359999999998, 'STSf': 79.259, 'TE': 30.158000000000012, 'STGr/STSd': 6.849, 'LPal': 4.4030000000000005, 'VPal': 6.58, 'pAmy': 29.641000000000016, 'Str': 152.49900000000088}"
