sub_region,n,cx,cy,cz,median_nn,mean_nn,q95_nn,spread_X,spread_Y,spread_Z
IAL,102,182.52227058823527,215.0578980392157,83.36833725490195,0.856166985628546,0.8968999991418277,1.6820078002197063,120.35239999999999,8.375599999999991,16.78880000000001
IAPM,16,80.56482500000001,212.34224999999998,79.525575,1.3488647470270532,1.4689737718288602,2.358181898693176,4.9091999999999985,4.6396000000000015,8.773599999999988
IDD5,63,126.30634285714285,176.74513015873012,99.37528888888887,0.8246934945784372,0.9429544806053233,1.6924959227891316,159.37199999999999,15.918799999999976,10.166399999999996
IDM,76,117.53943684210523,176.0318052631579,93.48255263157895,1.063957155060265,1.1741922233657487,2.254275890615502,163.4476,17.526399999999995,8.533199999999994
IDV,3,52.48,172.89026666666666,88.3436,2.2205852201615626,2.404590933039642,2.7174006449323778,1.1264000000000038,2.7288000000000068,2.166799999999995
