NeuronID,SampleID,Neuron_Type,Soma_Region,hemisphere,subregion,soma_x,soma_y,soma_z
111.swc,251637,ITi,CR_Ia/Id,right,agranular,209.28879999999998,179.288,97.4112
113.swc,251637,ITi,CR_Ia/Id,right,agranular,209.9568,180.296,97.32
116.swc,251637,ITi,CR_Ia/Id,right,agranular,211.4276,186.00320000000002,95.218
117.swc,251637,ITi,CR_Ia/Id,right,agranular,209.164,184.918,95.16
118.swc,251637,ITi,CR_Ia/Id,right,agranular,208.2656,184.582,95.0632
119.swc,251637,ITi,CR_Ia/Id,right,agranular,209.26760000000002,184.11120000000003,94.6088
120.swc,251637,ITi,CR_Ia/Id,right,agranular,210.33520000000001,185.58720000000002,93.9328
121.swc,251637,ITi,CR_Ia/Id,right,agranular,211.01160000000002,185.988,92.956
122.swc,251637,ITs,CR_Ia/Id,right,agranular,210.076,182.312,94.8888
123.swc,251637,ITi,CR_Ia/Id,right,agranular,209.3956,182.59120000000001,94.278
124.swc,251637,ITs,CR_Ia/Id,right,agranular,209.06560000000002,182.362,93.58
125.swc,251637,ITi,CR_Ia/Id,right,agranular,209.2252,181.5008,94.018
126.swc,251637,ITi,CR_Ia/Id,right,agranular,209.97639999999998,180.49,94.3408
127.swc,251637,ITi,CR_Ia/Id,right,agranular,208.0848,183.33679999999998,97.364
128.swc,251637,ITs,CR_Ia/Id,right,agranular,206.9324,183.594,97.486
129.swc,251637,ITi,CR_Ia/Id,right,agranular,208.1848,184.63920000000002,96.9112
130.swc,251637,ITi,CR_Ia/Id,right,agranular,207.7908,185.11120000000003,98.0648
131.swc,251637,ITs,CR_Ia/Id,right,agranular,206.4272,184.5312,96.1832
132.swc,251637,ITi,CR_Ia/Id,right,agranular,206.0072,184.348,95.9
133.swc,251637,ITi,CR_Ia/Id,right,agranular,205.254,184.222,94.7632
134.swc,251637,PT,CR_Ia/Id,right,agranular,206.4684,183.4688,95.262
135.swc,251637,ITi,CR_Ia/Id,right,agranular,203.9184,182.542,95.81280000000001
136.swc,251637,ITi,CR_Ia/Id,right,agranular,203.2028,183.202,96.2728
137.swc,251637,ITi,CR_Ia/Id,right,agranular,204.3936,180.018,93.9632
138.swc,251637,ITi,CR_Ia/Id,right,agranular,206.1056,179.33679999999998,94.206
139.swc,251637,ITi,CR_Ia/Id,right,agranular,205.49120000000002,179.1952,95.5248
140.swc,251637,ITi,CR_Ia/Id,right,agranular,204.3328,179.116,95.96719999999999
141.swc,251637,ITi,CR_Ia/Id,right,agranular,205.862,181.48479999999998,99.1752
142.swc,251637,ITi,CR_Ia/Id,right,agranular,206.38479999999998,183.10479999999998,98.406
143.swc,251637,ITi,CR_Ia/Id,right,agranular,207.01160000000002,184.468,99.18719999999999
144.swc,251637,CT,CR_Ia/Id,right,agranular,204.6492,184.89679999999998,98.204
145.swc,251637,ITi,CR_Ia/Id,right,agranular,206.828,184.13,98.104
146.swc,251637,ITi,CR_Ia/Id,right,agranular,211.8776,181.772,93.3952
147.swc,251637,ITi,CR_Ia/Id,right,agranular,212.0136,182.4168,92.7008
148.swc,251637,ITi,CR_Ia/Id,right,agranular,211.3808,182.2488,92.238
149.swc,251637,ITi,CR_Ia/Id,right,agranular,208.53320000000002,180.852,92.326
150.swc,251637,ITi,CR_Ia/Id,right,agranular,208.372,180.85920000000002,92.3
151.swc,251637,ITi,CR_Ia/Id,right,agranular,208.018,179.65279999999998,93.264
152.swc,251637,ITs,CR_Ia/Id,right,agranular,207.27679999999998,181.88320000000002,93.1
153.swc,251637,ITi,CR_Ia/Id,right,agranular,207.3596,182.8872,92.484
154.swc,251637,ITi,CR_Ia/Id,right,agranular,206.7864,181.0968,94.076
155.swc,251637,ITi,CR_Ia/Id,right,agranular,208.4984,181.3872,94.8648
156.swc,251637,ITi,CR_Ia/Id,right,agranular,209.23520000000002,181.034,94.846
157.swc,251637,PT,CR_Ia/Id,right,agranular,207.15879999999999,176.626,95.386
158.swc,251637,ITi,CR_Ia/Id,right,agranular,207.69879999999998,181.826,95.33
392.swc,251637,ITs,CL_Ig,left,granular,52.174,171.5592,106.06639999999999
393.swc,251637,ITi,CL_Ig,left,granular,51.454,170.882,102.75439999999999
394.swc,251637,ITi,CL_Ig,left,granular,51.8568,171.054,103.156
395.swc,251637,ITi,CL_Ig,left,granular,52.634,172.3152,104.0916
396.swc,251637,ITi,CL_Ig,left,granular,51.5472,170.44,101.6064
397.swc,251637,ITi,CL_Ig,left,granular,50.5848,170.526,102.238
398.swc,251637,CT,CL_Ig,left,granular,52.302,170.224,100.66560000000001
399.swc,251637,ITs,CL_Ig,left,granular,52.606,171.226,100.44919999999999
400.swc,251637,CT,CL_Ig,left,granular,53.9312,172.178,101.3044
401.swc,251637,ITs,CL_Ig,left,granular,53.627199999999995,173.02720000000002,101.5648
402.swc,251637,ITs,CL_Ig,left,granular,53.908,173.1072,101.47760000000001
403.swc,251637,ITi,CL_Ig,left,granular,54.1952,173.23,102.15
404.swc,251637,ITi,CL_Ig,left,granular,54.3392,173.554,101.6164
