"stratum","target_region","mean_L","mean_R","n_L","n_R","LI","p_wilcox","p_BH","significant","abs_LI","direction","receipt_class"
"all_neurons","caudal_OFC@L3",0.0892019339731175,0.257190765912386,121,185,-0.484966418591186,5.63070483488774e-09,1.68921145046632e-07,TRUE,0.484966418591186,"R > L","bilateral_receiving"
"all_neurons","Str@L3",0.035723561479118,0.0338526123278751,121,185,0.0268906549464258,0.176551630983092,0.291689244084479,FALSE,0.0268906549464258,"L > R","bilateral_receiving"
"all_neurons","spAmy@L3",0.00585576552970625,0.00305271357593027,121,185,0.314649534902888,0.0993991034244677,0.205653317429933,FALSE,0.314649534902888,"L > R","bilateral_receiving"
"all_neurons","Pd@L3",0.00257818005318005,0.00879252996848559,121,185,-0.546522111481488,0.368135396338325,0.433100466280382,FALSE,0.546522111481488,"R > L","bilateral_receiving"
"all_neurons","floor_of_ls@L3",0.24093399519389,0.163724301930997,121,185,0.190802195095093,0.000176771510889351,0.00176771510889351,TRUE,0.190802195095093,"L > R","bilateral_receiving"
"all_neurons","LPal@L3",0.0378132363801063,0.0199251785872352,121,185,0.30981201518727,5.30671125882343e-05,0.000796006688823514,TRUE,0.30981201518727,"L > R","bilateral_receiving"
"all_neurons","THy@L3",0,0.00204629028687005,121,185,-0.999995113131702,0.16106590762236,0.291689244084479,FALSE,0.999995113131702,"R > L","one_side_only_or_extreme"
"all_neurons","ZI-H@L3",0.00704699973529921,0.000544313820780138,121,185,0.856594487967982,0.0774885363927482,0.193721340981871,FALSE,0.856594487967982,"L > R","bilateral_receiving"
"all_neurons","VMed@L3",0,0.0010164635304295,121,185,-0.999990162065513,0.25392607121193,0.317407589014912,FALSE,0.999990162065513,"R > L","one_side_only_or_extreme"
"all_neurons","pAmy@L3",0.0056211830995719,0.00637769206172681,121,185,-0.0630482709006128,0.186790941160896,0.291689244084479,FALSE,0.0630482709006128,"R > L","bilateral_receiving"
"all_neurons","M1/PM@L3",0.00698679930382956,0.0292297055711247,121,185,-0.614164735179346,0.0333448056729858,0.111149352243286,FALSE,0.614164735179346,"R > L","bilateral_receiving"
"all_neurons","lat_OFC@L3",0.0169462580525069,0.0205787529532612,121,185,-0.0968019418349144,0.09897385849711,0.205653317429933,FALSE,0.0968019418349144,"R > L","bilateral_receiving"
"all_neurons","vlPFC@L3",0.0131562127762743,0.00459393876954315,121,185,0.482377243983378,0.0299398349407887,0.111149352243286,FALSE,0.482377243983378,"L > R","bilateral_receiving"
"all_neurons","MThal@L3",0.00419088632391889,0.00247544905401977,121,185,0.257327991972352,0.0864510134227976,0.199502338667994,FALSE,0.257327991972352,"L > R","bilateral_receiving"
"all_neurons","MLThal@L3",0.00267396430157989,0.00270230487820271,121,185,-0.00527141089127233,0.83439914642817,0.863171530787762,FALSE,0.00527141089127233,"R > L","bilateral_receiving"
"all_neurons","Rh@L3",0.00658273025878489,0.00673443813294774,121,185,-0.0113918932149341,0.277832861380926,0.340203503731746,FALSE,0.0113918932149341,"R > L","bilateral_receiving"
"all_neurons","STSf@L3",0.00219215661676649,0.00567322902457432,121,185,-0.442580712597748,0.998288463586651,0.998288463586651,FALSE,0.442580712597748,"R > L","bilateral_receiving"
"all_neurons","TG@L3",0.0146667288800859,0.00391030066979394,121,185,0.579017349960992,0.00238052809113731,0.0178539606835298,TRUE,0.579017349960992,"L > R","bilateral_receiving"
"all_neurons","SII@L3",0.014061276807011,0.0178477951081293,121,185,-0.11866584915192,0.897223456501899,0.912430633730745,FALSE,0.11866584915192,"R > L","bilateral_receiving"
"all_neurons","SI@L3",0.000432453218776945,0.00457683935561044,121,185,-0.827337952796819,0.165177707699421,0.291689244084479,FALSE,0.827337952796819,"R > L","bilateral_receiving"
"all_neurons","lat_IPS@L3",0,0.00094805588101841,121,185,-0.999989452209809,0.16106590762236,0.291689244084479,FALSE,0.999989452209809,"R > L","one_side_only_or_extreme"
"all_neurons","area_7_in_IPL@L3",0.0121617420978966,0.00576479576080242,121,185,0.356842063933131,0.0966955504991751,0.205653317429933,FALSE,0.356842063933131,"L > R","bilateral_receiving"
"all_neurons","VMid@L3",0.00071250662793713,0.00204984936078424,121,185,-0.484129452182451,0.247900037449399,0.317407589014912,FALSE,0.484129452182451,"R > L","bilateral_receiving"
"all_neurons","DSP@L3",0.00214910845363247,0.00211254701672433,121,185,0.00857914286385229,0.317435710397585,0.380922852477102,FALSE,0.00857914286385229,"L > R","bilateral_receiving"
"all_neurons","STGr/STSd@L3",0.00301483870589962,0.000824439390498635,121,185,0.570522258398859,0.0845944989375274,0.199502338667994,FALSE,0.570522258398859,"L > R","bilateral_receiving"
"all_neurons","VPons@L3",0,0.00261186770339192,121,185,-0.999996171336818,0.104785407621718,0.209570815243437,FALSE,0.999996171336818,"R > L","one_side_only_or_extreme"
"all_neurons","DPons@L3",0.000457846464339829,0.000330864422776665,121,185,0.160997437290397,0.769139570660138,0.809620600694883,FALSE,0.160997437290397,"L > R","bilateral_receiving"
"all_neurons","LPons@L3",0,0.000142250148741126,121,185,-0.999929706245294,0.422522696965596,0.478327581470485,FALSE,0.999929706245294,"R > L","one_side_only_or_extreme"
"all_neurons","VPal@L3",0.00784491851114531,0.00145351989990779,121,185,0.687361840244233,0.0114846169583733,0.0765641130558222,FALSE,0.687361840244233,"L > R","bilateral_receiving"
"all_neurons","POC@L3",0,0.000785232226448388,121,185,-0.999987265076096,0.25392607121193,0.317407589014912,FALSE,0.999987265076096,"R > L","one_side_only_or_extreme"
"all_neurons","VThal@L3",0.00377713179060083,0.000646106092713845,121,185,0.707856710834092,0.0638276059694511,0.166506798181177,FALSE,0.707856710834092,"L > R","bilateral_receiving"
"all_neurons","HF@L3",0.00378380800056992,0.000749974603275657,121,185,0.669160162889003,0.0638276059694511,0.166506798181177,FALSE,0.669160162889003,"L > R","bilateral_receiving"
"all_neurons","vm_IPS@L3",0,0.000355212125858279,121,185,-0.999971848600433,0.422522696965596,0.478327581470485,FALSE,0.999971848600433,"R > L","one_side_only_or_extreme"
"all_neurons","TE@L3",0.00101364897333399,0.00425633153833157,121,185,-0.615310892461692,0.671280776804698,0.732306301968762,FALSE,0.615310892461692,"R > L","bilateral_receiving"
"all_neurons","MCC@L3",0.000897065940422462,0.0017234713629967,121,185,-0.315356040891147,0.769139570660138,0.809620600694883,FALSE,0.315356040891147,"R > L","bilateral_receiving"
"all_neurons","PThal@L3",0.00874458682484689,0.00113916869746888,121,185,0.769485891809791,0.026974250080565,0.111149352243286,FALSE,0.769485891809791,"L > R","bilateral_receiving"
"all_neurons","area_5@L3",0.00078600487291401,0,121,185,0.999987277594426,0.218766933063359,0.291689244084479,FALSE,0.999987277594426,"L > R","one_side_only_or_extreme"
"all_neurons","Rt@L3",0,0,121,185,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"all_neurons","SMA/preSMA@L3",0.000981715402949281,0,121,185,0.999989813852254,0.218766933063359,0.291689244084479,FALSE,0.999989813852254,"L > R","one_side_only_or_extreme"
"all_neurons","IMed@L3",0,0,121,185,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"all_neurons","PCgG@L3",0.000957144815231078,0,121,185,0.999989552369334,0.218766933063359,0.291689244084479,FALSE,0.999989552369334,"L > R","one_side_only_or_extreme"
"all_neurons","area_7m@L3",0,0,121,185,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
