"stratum","target","hier","target_id","family","n_L","n_R","frac_L","frac_R","mean_L","mean_R","cliffs_delta","p_pres","p_mag","p_pres_BH","p_mag_BH","best_q","direction"
"all_combined","PThal","L3","PThal@L3","extra_insula",121,185,0.0413223140495868,0.00540540540540541,0.0122342910321961,0.00188176298050092,0.0357828903283449,0.0374249303269607,0.0277441089600168,0.153858046899727,0.084482662857348,0.084482662857348,"L>R"
"all_combined","GThal","L3","GThal@L3","extra_insula",121,185,0.0247933884297521,0,0.0025885523843209,0,0.0247933884297521,0.0609002013229796,0.0319664129730506,0.168208563550858,0.084482662857348,0.084482662857348,"L>R"
"all_combined","LMid","L3","LMid@L3","extra_insula",121,185,0.0247933884297521,0,0.00310067290398491,0,0.0247933884297521,0.0609002013229796,0.0319664129730506,0.168208563550858,0.084482662857348,0.084482662857348,"L>R"
"all_combined","core","L3","core@L3","extra_insula",121,185,0.0247933884297521,0,0.00203733546783628,0,0.0247933884297521,0.0609002013229796,0.0319664129730506,0.168208563550858,0.084482662857348,0.084482662857348,"L>R"
"all_combined","med_OFC","L3","med_OFC@L3","extra_insula",121,185,0.0247933884297521,0,0.00308536731695577,0,0.0247933884297521,0.0609002013229796,0.0319664129730506,0.168208563550858,0.084482662857348,0.084482662857348,"L>R"
"IDD5_plus_IDM_balanced","belt","L3","belt@L3","extra_insula",81,68,0.0740740740740741,0,0.0134732804145259,0,0.0740740740740741,0.0316203820434513,0.0227853615132378,0.164425986625947,0.123040952171484,0.123040952171484,"L>R"
"IDD5_balanced","caudal_OFC","L3","caudal_OFC@L3","extra_insula",34,36,0.117647058823529,0,0.0180860456270386,0,0.117647058823529,0.050579401130991,0.0367533836933189,0.26245348236634,0.137839085108744,0.137839085108744,"L>R"
"IDD5_balanced","spAmy","L3","spAmy@L3","extra_insula",34,36,0.117647058823529,0,0.0118298608713852,0,0.117647058823529,0.050579401130991,0.0367533836933189,0.26245348236634,0.137839085108744,0.137839085108744,"L>R"
"IDD5_balanced","Rh","L3","Rh@L3","extra_insula",34,36,0,0.111111111111111,0,0.028427115555487,-0.111111111111111,0.114823398535274,0.0486490888619095,0.26245348236634,0.137839085108744,0.137839085108744,"R>L"
"IDD5_balanced","STSf","L3","STSf@L3","extra_insula",34,36,0,0.111111111111111,0,0.033373492305811,-0.111111111111111,0.114823398535274,0.0486490888619095,0.26245348236634,0.137839085108744,0.137839085108744,"R>L"
