"NeuronUID","SampleID","Region","Side","ap_y","ml_x","total_ipsi","total_contra","has_any_contra","Ibias"
"251637::069.swc",251637,"IAL","R",213.4912,190.112,40.4939999999999,0,FALSE,-1
"251637::070.swc",251637,"IAL","R",216.6936,191.436,56.341,0,FALSE,-1
"251637::071.swc",251637,"IAL","R",213.4104,188.724,64.3659999999999,0,FALSE,-1
"251637::072.swc",251637,"IAL","R",212.5496,187.062,2111.26399999997,0,FALSE,-1
"251637::073.swc",251637,"IAL","R",213.4304,189.1536,44.82,0,FALSE,-1
"251637::074.swc",251637,"IAL","R",213.9212,188.1564,198.486000000001,0,FALSE,-1
"251637::075.swc",251637,"IAL","R",213.6736,188.2768,89.7730000000008,0,FALSE,-1
"251637::076.swc",251637,"IAL","R",214.2172,188.7824,118.833,0,FALSE,-1
"251637::077.swc",251637,"IAL","R",214.5752,188.5716,85.746,0,FALSE,-1
"251637::078.swc",251637,"IAL","R",214.9868,188.36,192.536000000002,0,FALSE,-1
"251637::079.swc",251637,"IAL","R",217.3644,190.4196,26.7589999999999,0,FALSE,-1
"251637::080.swc",251637,"IAL","R",216.424,190.2424,72.1439999999999,0,FALSE,-1
"251637::081.swc",251637,"IAL","R",214.73,189.4536,117.469000000001,0,FALSE,-1
"251637::082.swc",251637,"IAL","R",214.2708,186.8316,489.054000000002,0,FALSE,-1
"251637::083.swc",251637,"IAL","R",213.912,186.7256,341.335000000003,0,FALSE,-1
"251637::084.swc",251637,"IAL","R",213.1056,187.102,285.924999999999,0,FALSE,-1
"251637::085.swc",251637,"IAL","R",213.2528,188.7904,1494.14099999998,0,FALSE,-1
"251637::086.swc",251637,"IAL","R",213.1272,188.9444,27.5829999999999,0,FALSE,-1
"251637::087.swc",251637,"IAL","R",215.4352,188.7648,361.157,0,FALSE,-1
"251637::088.swc",251637,"IAL","R",213.2748,190.5024,43.5700000000001,0,FALSE,-1
"251637::089.swc",251637,"IAL","R",213.1136,189.9324,32.2989999999999,0,FALSE,-1
"251637::090.swc",251637,"IAL","R",213.5948,189.8048,49.84,0,FALSE,-1
"251637::091.swc",251637,"IAL","R",213.7896,192.0276,1016.419,0,FALSE,-1
"251637::092.swc",251637,"IAL","R",214.0632,192.8348,234.652000000002,0,FALSE,-1
"251637::093.swc",251637,"IAL","R",214.496,192.8732,126.718,0,FALSE,-1
"251637::094.swc",251637,"IAL","R",215.0448,193.4904,207.572000000001,0,FALSE,-1
"251637::095.swc",251637,"IAL","R",215.9384,186.5224,55.251,0,FALSE,-1
"251637::096.swc",251637,"IDD5","R",182.2472,204.5724,717.102999999998,0,FALSE,-1
"251637::097.swc",251637,"IDD5","R",181.886,204.3344,1754.09799999998,0,FALSE,-1
"251637::098.swc",251637,"IDD5","R",181.664,204.4024,1774.05599999999,0,FALSE,-1
"251637::099.swc",251637,"IDD5","R",181.2192,205.4712,130.348,0,FALSE,-1
"251637::100.swc",251637,"IDD5","R",180.6008,205.7788,196.223999999999,0,FALSE,-1
"251637::101.swc",251637,"IDD5","R",180.2552,206.3316,34.512,0,FALSE,-1
"251637::102.swc",251637,"IDD5","R",179.872,206.1832,36.845,0,FALSE,-1
"251637::103.swc",251637,"IDD5","R",179.102,206.6016,805.170999999988,0,FALSE,-1
"251637::104.swc",251637,"IDD5","R",178.3488,205.8384,2584.55399999996,0,FALSE,-1
"251637::105.swc",251637,"IDD5","R",181.694,208.4096,565.840999999994,0,FALSE,-1
"251637::106.swc",251637,"IDD5","R",181.2208,207.9772,423.422999999993,0,FALSE,-1
"251637::107.swc",251637,"IDD5","R",180.778,208.4868,139.677000000001,0,FALSE,-1
"251637::108.swc",251637,"IDD5","R",179.8288,208.5392,313.339999999998,0,FALSE,-1
"251637::109.swc",251637,"IDD5","R",179.47,208.8848,490.044999999996,0,FALSE,-1
"251637::110.swc",251637,"IDD5","R",179.1632,208.286,47.3769999999999,0,FALSE,-1
"251637::111.swc",251637,"IDD5","R",179.288,209.2888,347.632999999997,0,FALSE,-1
"251637::112.swc",251637,"IDM","R",178.426,211.5384,134.274000000002,0,FALSE,-1
"251637::113.swc",251637,"IDD5","R",180.296,209.9568,8.226,0,FALSE,-1
"251637::114.swc",251637,"IDD5","R",185.2728,209.5244,192.545,0,FALSE,-1
"251637::116.swc",251637,"IDM","R",186.0032,211.4276,58.003,0,FALSE,-1
"251637::117.swc",251637,"IDM","R",184.918,209.164,1128.75299999998,0,FALSE,-1
"251637::118.swc",251637,"IDM","R",184.582,208.2656,385.332999999997,0,FALSE,-1
"251637::119.swc",251637,"IDM","R",184.1112,209.2676,161.101000000001,0,FALSE,-1
"251637::120.swc",251637,"IDM","R",185.5872,210.3352,59.9289999999999,0,FALSE,-1
"251637::121.swc",251637,"IDM","R",185.988,211.0116,75.3900000000003,0,FALSE,-1
"251637::122.swc",251637,"IDM","R",182.312,210.076,1201.979,0,FALSE,-1
"251637::123.swc",251637,"IDM","R",182.5912,209.3956,863.243999999989,0,FALSE,-1
"251637::124.swc",251637,"IDM","R",182.362,209.0656,1390.48999999998,0,FALSE,-1
"251637::125.swc",251637,"IDM","R",181.5008,209.2252,885.155999999987,0,FALSE,-1
"251637::126.swc",251637,"IDM","R",180.49,209.9764,688.916999999989,0,FALSE,-1
"251637::127.swc",251637,"IDD5","R",183.3368,208.0848,248.969999999997,0,FALSE,-1
"251637::128.swc",251637,"IDD5","R",183.594,206.9324,774.033999999992,0,FALSE,-1
"251637::129.swc",251637,"IDD5","R",184.6392,208.1848,232.829000000001,0,FALSE,-1
"251637::130.swc",251637,"IDD5","R",185.1112,207.7908,70.4520000000001,0,FALSE,-1
"251637::131.swc",251637,"IDD5","R",184.5312,206.4272,1030.01799999998,0,FALSE,-1
"251637::132.swc",251637,"IDD5","R",184.348,206.0072,37.6589999999999,0,FALSE,-1
"251637::133.swc",251637,"IDM","R",184.222,205.254,172.003000000001,0,FALSE,-1
"251637::134.swc",251637,"IDM","R",183.4688,206.4684,514.925999999995,0,FALSE,-1
"251637::135.swc",251637,"IDM","R",182.542,203.9184,706.906999999981,0,FALSE,-1
"251637::136.swc",251637,"IDD5","R",183.202,203.2028,152.368000000001,0,FALSE,-1
"251637::137.swc",251637,"IDM","R",180.018,204.3936,48.2280000000001,0,FALSE,-1
"251637::138.swc",251637,"IDM","R",179.3368,206.1056,33.5549999999999,0,FALSE,-1
"251637::139.swc",251637,"IDM","R",179.1952,205.4912,342.004999999994,0,FALSE,-1
"251637::140.swc",251637,"IDM","R",179.116,204.3328,161.454000000001,0,FALSE,-1
"251637::141.swc",251637,"IDD5","R",181.4848,205.862,768.011,0,FALSE,-1
"251637::142.swc",251637,"IDD5","R",183.1048,206.3848,22.427,0,FALSE,-1
"251637::143.swc",251637,"IDD5","R",184.468,207.0116,1166.98599999999,0,FALSE,-1
"251637::144.swc",251637,"IDD5","R",184.8968,204.6492,251.328999999999,0,FALSE,-1
"251637::145.swc",251637,"IDD5","R",184.13,206.828,63.795,0,FALSE,-1
