"target","side","ap","prop","Region"
"Ig","all",173.9408,0,"IDV"
"Ig","all",173.518,0.119425543653165,"IDV"
"Ig","all",171.212,0,"IDV"
"Ig","all",171.5368,0,"IDM"
"Ig","all",169.778,0,"IDM"
"Ig","all",169.8048,0,"IDM"
"Ig","all",172.1768,0,"IDM"
"Ig","all",172.7768,0,"IDM"
"Ig","all",171.3688,0,"IDM"
"Ig","all",172.6608,0,"IDM"
"Ig","all",173.452,0,"IDM"
"Ig","all",174.5272,0.156685268158993,"IDM"
"Ig","all",172.8328,0,"IDM"
"Ig","all",170.464,0,"IDM"
"Ig","all",169.934,0,"IDM"
"Ig","all",170.114,0,"IDM"
"Ig","all",171.028,0.135952182038981,"IDM"
"Ig","all",173.736,0,"IDM"
"Ig","all",173.158,0,"IDM"
"Ig","all",171.17,0,"IDM"
"Ig","all",170.27,0,"IDM"
"Ig","all",171.472,0,"IDM"
"Ig","all",171.146,0,"IDM"
"Ig","all",173.256,0,"IDM"
"Ig","all",168.864,0,"IDM"
"Ig","all",168.9352,0.284554455445545,"IDM"
"Ig","all",168.4768,0.449541564792176,"IDM"
"Ig","all",169.354,0.412383042624466,"IDD5"
"Ig","all",170.696,0,"IDM"
"Ig","all",171.832,0,"IDM"
"Ig","all",171.0672,0.250241797485306,"IDM"
"Ig","all",211.3912,0,"IAL"
"Ig","all",210.4168,0,"IAL"
"Ig","all",210.1168,0,"IAPM"
"Ig","all",211.9072,0,"IAPM"
"Ig","all",210.6632,0,"IAPM"
"Ig","all",211.118,0,"IAPM"
"Ig","all",212.0196,0.0240310144601459,"IAPM"
"Ig","all",213.6916,0,"IAPM"
"Ig","all",213.7356,0,"IAPM"
"Ig","all",214.7564,0,"IAPM"
"Ig","all",213.5468,0,"IAPM"
"Ig","all",213.5636,0,"IAPM"
"Ig","all",213.0968,0,"IAPM"
"Ig","all",212.2664,0,"IAL"
"Ig","all",211.8712,0,"IAL"
"Ig","all",211.8992,0,"IAL"
"Ig","all",211.3288,0,"IAL"
"Ig","all",211.884,0,"IAL"
"Ig","all",212.5584,0,"IAPM"
"Ig","all",212.4096,0,"IAPM"
"Ig","all",211.998,0,"IAPM"
"Ig","all",210.7472,0,"IAPM"
"Ig","all",211.5472,0,"IAPM"
"Ig","all",152.656,0.395751933497339,"IDD5"
"Ig","all",151.339,0.875623649577686,"IDD5"
"Ig","all",162.881,0.490768659832073,"IDD5"
"Ig","all",164.712,0.430662816466322,"IDD5"
"Ig","all",167.47,0.353983641320812,"IDD5"
"Ig","all",205.632,0,"IAL"
"Ig","all",205.908,0,"IAL"
"Ig","all",203.608,0,"IAL"
"Ig","all",208.983,0,"IAL"
"Ig","all",209.9,0,"IAL"
"Ig","all",190.706,0,"IDM"
"Ig","all",188.714,0.0462834669913647,"IDM"
"Ig","all",187.365,0,"IDM"
"Ig","all",209.919,0,"IAL"
"Ig","all",209.287,0,"IAL"
"Ig","all",206.676,0,"IAL"
"Ig","all",205.484,0,"IAL"
"Ig","all",206.506,0,"IAL"
"Ig","all",207.459,0,"IAL"
"Ig","all",208.442,0,"IAL"
"Ig","all",209.073,0,"IAL"
"Ig","all",207.16,0,"IAL"
"Ig","all",208.53,0,"IAL"
"Ig","all",210.3,0,"IAL"
"Ig","all",219.0492,0,"IAL"
"Ig","all",218.8489,0,"IAL"
"Ig","all",220.6792,0,"IAL"
"Ig","all",218.7842,0,"IAL"
"Ig","all",219.9139,0,"IAL"
"Ig","all",217.1767,0,"IAL"
"Ig","all",217.278,0,"IAL"
"Ig","all",218.5447,0,"IAL"
"Ig","all",218.1859,0,"IAL"
"Ig","all",219.3808,0,"IAL"
"Ig","all",211.459,0,"IAL"
"Ig","all",216.7038,0,"IAL"
"Ig","all",219.9862,0,"IAL"
"Ig","all",212.3912,0,"IAL"
"Ig","all",216.6004,0,"IAL"
"Ig","all",216.725,0,"IAL"
"Ig","all",218.2082,0,"IAL"
"Ig","all",218.5304,0,"IAL"
"Ig","all",218.5809,0,"IAL"
"Ig","all",218.9249,0,"IAL"
"Ig","all",151.353,0.427466608795155,"IDD5"
"Ig","all",151.55,0.398830054358323,"IDD5"
"Pi","L",171.5592,0,"IDD5"
"Pi","L",170.882,0,"IDD5"
"Pi","L",171.054,0,"IDD5"
"Pi","L",172.3152,0,"IDD5"
"Pi","L",170.44,0,"IDD5"
"Pi","L",170.526,0,"IDD5"
"Pi","L",170.224,0,"IDD5"
"Pi","L",171.226,0,"IDD5"
"Pi","L",172.178,0,"IDD5"
"Pi","L",173.0272,0,"IDD5"
"Pi","L",173.1072,0.0675779707195598,"IDD5"
"Pi","L",173.23,0,"IDD5"
"Pi","L",173.554,0,"IDD5"
"Pi","L",171.772,0,"IDD5"
"Pi","L",171.3608,0,"IDD5"
"Pi","L",170.5688,0,"IDD5"
"Pi","L",171.9712,0,"IDD5"
"Pi","L",173.376,0,"IDD5"
"Pi","L",173.088,0,"IDD5"
"Pi","L",170.724,0,"IDD5"
"Pi","L",170.552,0,"IDD5"
"Pi","L",171.866,0,"IDD5"
"Pi","L",173.268,0,"IDD5"
"Pi","L",173.7648,0,"IDD5"
"Pi","L",173.9288,0,"IDD5"
"Pi","L",173.696,0,"IDD5"
"Pi","L",173.4008,0,"IDD5"
"Pi","L",173.8992,0,"IDD5"
"Pi","L",171.9312,0,"IDD5"
"Pi","L",171.47,0,"IDD5"
"Pi","L",171.0112,0,"IDD5"
"Pi","L",171.564,0,"IDD5"
"Pi","L",171.0688,0,"IDM"
"Pi","L",171.8832,0,"IDM"
"Pi","L",170.6888,0,"IDM"
"Pi","L",170.826,0,"IDM"
"Pi","L",171.1808,0,"IDM"
"Pi","L",171.126,0,"IDM"
"Pi","L",173.104,0,"IDM"
"Pi","L",171.88,0,"IDM"
"Pi","L",172.07,0,"IDM"
"Pi","L",173.2648,0.0883636490591069,"IDM"
"Pi","L",173.0568,0,"IDM"
"Pi","L",174.0688,0,"IDM"
"Pi","L",173.468,0,"IDM"
"Pi","L",175.0128,0,"IDM"
"Pi","L",172.5768,0,"IDM"
"Pi","L",172.8072,0,"IDM"
"Pi","L",172.488,0.25214885310725,"IDM"
