"ap_oct","median_nii_y","Ig","Pi","Ial","Iam/Iapm","Ia/Id","ap_label"
1,170.526,0.306166023225334,0.0142713322409164,0.00144434503374184,0.0034078900699495,0.403379533196004,"Oct 1
(Y~171)"
2,172.6188,0.195153262414391,0.0131912862150395,0,0,0.401975887739767,"Oct 2
(Y~173)"
3,179.4034,0.09019823671329,0,0.00288346064624251,0.00322116402984776,0.657812111665316,"Oct 3
(Y~179)"
4,183.8526,0.00765964074926368,0.009158386881436,0.00861813287318302,0.00141811334975413,0.610874686123346,"Oct 4
(Y~184)"
5,210.9326,0.00063239511737226,0.00246952057374765,0.366029012826293,0.0456734232250502,0.0261390267680964,"Oct 5
(Y~211)"
6,213.6532,0,0.0026037992098208,0.451530900464133,0.0170922616260951,0.0766976626013406,"Oct 6
(Y~214)"
7,215.7992,0,0.00201133563117472,0.239302617230112,0.00477458843986553,0.0238744880376867,"Oct 7
(Y~216)"
8,217.6764,0.000728219715806993,0.0041408441548373,0.100187385506004,0.00451527388803358,0.0322435370311543,"Oct 8
(Y~218)"
