sample_id,neuron,n_lines,swc_root_x,swc_root_y,swc_root_z,ref_phys_x,ref_phys_y,ref_phys_z,ref_nii_x,ref_nii_y,ref_nii_z,dx,dy,dz
251637,001.swc,32584,48175.9,53466.6,20957.0,48175.9,53466.6,20957.0,192.7036,213.8664,83.828,0.0,0.0,0.0
251730,001.swc,56167,18571.5,41472.0,11052.0,18571.5,41472.0,11052.0,74.286,165.888,44.208,0.0,0.0,0.0
252383,001.swc,22387,55215.075,46207.5,32756.85,55215.075,46207.5,32756.85,220.8603,184.83,131.0274,0.0,7.275957614183426e-12,0.0
252384,001.swc,27201,14467.25,26700.5,31166.3,14467.25,26700.5,31166.3,57.869,106.802,124.6652,0.0,3.637978807091713e-12,0.0
252385,001.swc,10650,12881.75,57402.6,29779.55,12881.75,57402.6,29779.55,51.527,229.6104,119.1182,3.637978807091713e-12,0.0,0.0
