id,type,x,y,z,x_nii,y_nii,z_nii,radius,parent,is_terminal,order
1,1,34083.0,36875.2,39347.6,136.332,147.5008,157.3904,1.625,-1,0,0
2,3,34076.0,36877.0,39340.2,136.304,147.508,157.3608,1.3555,1,0,1
3,3,34085.2,36888.5,39355.6,136.3408,147.554,157.4224,0.0039,1,0,1
4,3,34088.8,36896.0,39357.9,136.3552,147.584,157.4316,1.1914,3,0,1
5,3,34087.5,36905.5,39356.6,136.35,147.622,157.4264,0.0117,4,0,1
6,3,34083.8,36912.8,39354.2,136.3352,147.6512,157.4168,0.7578,5,0,1
7,3,34081.0,36921.0,39350.2,136.324,147.684,157.4008,0.8672,6,0,1
8,3,34079.0,36926.8,39344.8,136.316,147.7072,157.3792,0.0039,7,0,1
9,3,34076.5,36931.0,39343.7,136.306,147.724,157.3748,0.9766,8,0,1
10,3,34083.0,36872.5,39357.4,136.332,147.49,157.4296,0.0039,1,0,1
11,3,34085.5,36871.5,39359.4,136.342,147.486,157.4376,3.1953,10,0,1
12,3,34088.5,36864.5,39357.8,136.354,147.458,157.4312,0.6484,11,0,1
13,3,34091.2,36861.8,39358.7,136.3648,147.4472,157.4348,1.0273,12,0,1
14,3,34091.5,36854.8,39362.8,136.366,147.4192,157.4512,0.0039,13,0,1
15,3,34088.5,36845.5,39371.6,136.354,147.382,157.4864,0.7578,14,0,1
16,3,34084.5,36836.8,39382.0,136.338,147.3472,157.528,0.8125,15,0,1
17,3,34082.8,36833.5,39388.4,136.3312,147.334,157.5536,0.0195,16,0,1
18,3,34081.8,36827.0,39392.4,136.3272,147.308,157.5696,1.1914,17,0,1
19,3,34081.5,36821.8,39391.9,136.326,147.2872,157.5676,0.543,18,0,1
20,3,34079.8,36816.5,39398.8,136.3192,147.266,157.5952,0.8125,19,0,1
21,3,34078.8,36808.8,39403.6,136.3152,147.2352,157.6144,1.3008,20,0,1
22,3,34077.2,36804.8,39408.7,136.3088,147.2192,157.6348,0.9766,21,0,1
23,3,34077.0,36806.2,39412.4,136.308,147.2248,157.6496,0.9219,22,0,1
24,3,34077.2,36803.2,39411.0,136.3088,147.2128,157.644,0.0508,23,0,1
25,3,34076.0,36798.5,39415.9,136.304,147.194,157.6636,0.8672,24,0,1
26,3,34074.5,36796.2,39422.2,136.298,147.1848,157.6888,1.7891,25,0,1
27,3,34075.2,36792.0,39427.0,136.3008,147.168,157.708,0.6484,26,0,1
28,3,34077.2,36793.0,39430.9,136.3088,147.172,157.7236,0.4336,27,0,1
29,3,34078.2,36792.0,39438.4,136.3128,147.168,157.7536,0.5977,28,0,1
30,3,34078.5,36789.5,39446.6,136.314,147.158,157.7864,0.8672,29,0,1
31,3,34077.5,36790.0,39451.0,136.31,147.16,157.804,0.6484,30,0,1
32,3,34077.2,36794.0,39452.2,136.3088,147.176,157.8088,0.6484,31,0,1
33,3,34076.5,36795.5,39460.2,136.306,147.182,157.8408,0.0039,32,0,1
34,3,34076.8,36793.8,39470.8,136.3072,147.1752,157.8832,0.9766,33,0,1
35,3,34076.5,36794.0,39479.4,136.306,147.176,157.9176,1.4102,34,0,1
36,3,34076.0,36790.8,39484.3,136.304,147.1632,157.9372,0.3242,35,0,1
37,3,34076.5,36785.8,39488.0,136.306,147.1432,157.952,0.6484,36,0,1
38,3,34076.5,36785.2,39493.0,136.306,147.1408,157.972,0.3789,37,0,1
39,3,34077.2,36784.8,39507.3,136.3088,147.1392,158.0292,0.0039,38,0,1
40,3,34077.2,36782.8,39518.6,136.3088,147.1312,158.0744,0.543,39,0,1
41,3,34075.2,36782.0,39524.2,136.3008,147.128,158.0968,1.2461,40,0,1
42,3,34073.0,36788.5,39528.0,136.292,147.154,158.112,0.9219,41,0,1
43,3,34072.8,36799.2,39531.8,136.2912,147.1968,158.1272,0.5977,42,1,1
44,3,34083.5,36870.2,39351.2,136.334,147.4808,157.4048,0.0078,1,0,1
45,3,34087.5,36856.2,39349.7,136.35,147.4248,157.3988,2.3828,44,0,1
46,3,34090.2,36845.2,39350.9,136.3608,147.3808,157.4036,1.9492,45,0,1
47,3,34089.2,36838.2,39349.8,136.3568,147.3528,157.3992,0.9219,46,0,1
48,3,34085.2,36833.8,39350.2,136.3408,147.3352,157.4008,1.0273,47,0,1
49,3,34082.8,36826.2,39348.4,136.3312,147.3048,157.3936,0.8672,48,0,1
50,3,34081.8,36815.5,39346.4,136.3272,147.262,157.3856,0.0039,49,0,1
51,3,34080.0,36808.2,39347.4,136.32,147.2328,157.3896,0.4336,50,0,1
52,3,34078.0,36797.2,39346.5,136.312,147.1888,157.386,0.3242,51,0,1
53,3,34074.5,36787.5,39346.3,136.298,147.15,157.3852,0.3242,52,0,1
54,3,34070.2,36770.2,39340.0,136.2808,147.0808,157.36,0.7031,53,0,1
55,3,34070.2,36756.8,39334.9,136.2808,147.0272,157.3396,0.8125,54,0,1
56,3,34072.5,36749.5,39332.0,136.29,146.998,157.328,0.7578,55,0,1
57,3,34074.2,36742.2,39330.2,136.2968,146.9688,157.3208,0.0273,56,0,1
58,3,34074.8,36738.8,39330.2,136.2992,146.9552,157.3208,0.6484,57,1,1
59,3,34082.2,36873.0,39355.5,136.3288,147.492,157.422,0.0195,1,0,1
60,3,34083.5,36872.0,39362.8,136.334,147.488,157.4512,1.625,59,0,1
61,3,34083.8,36873.0,39367.1,136.3352,147.492,157.4684,0.9219,60,0,1
62,3,34080.8,36870.5,39375.9,136.3232,147.482,157.5036,0.0039,61,0,1
63,3,34076.2,36868.5,39381.7,136.3048,147.474,157.5268,1.1367,62,0,1
64,3,34073.5,36869.0,39386.7,136.294,147.476,157.5468,0.7578,63,0,1
