I	J	Score	Match	NoMatch
9	11	7.03284e+08	95393.3	234272
5	14	2.27531e+09	11517.2	240743
5	10	1.8554e+09	13816.3	217550
9	2	8.69461e+08	61980.1	271837
5	15	1.92596e+09	17370.7	210871
0	8	1.75816e+09	23622.8	326513
5	18	1.63173e+09	41856	177354
5	1	1.93303e+09	17605.1	180172
5	19	2.01834e+09	18872.3	180500
5	16	2.08586e+09	16803.9	180167
5	13	2.06507e+09	2879.91	192698
9	3	2.83656e+09	27972.2	313727
0	11	1.18721e+09	24142.7	300620
9	4	2.65789e+09	17792.2	304714
0	2	1.19668e+09	43374.2	285539
9	7	2.19622e+09	53220.8	266379
0	3	1.66161e+09	60881.8	275914
9	17	1.42697e+09	37406.2	263680
9	12	1.27774e+09	26982.2	271697
0	4	1.55614e+09	54149.2	263453
9	14	1.85753e+09	53616.9	243117
9	10	1.34679e+09	29076.9	246764
0	7	1.2487e+09	59606.8	255090
9	15	1.57094e+09	9183.38	263533
0	17	1.00034e+09	75338.6	220844
9	18	1.4269e+09	20799.4	242885
9	1	1.33894e+09	13472.6	228779
9	19	1.49967e+09	2976.65	240870
9	16	1.49459e+09	9433.87	232011
9	13	1.45092e+09	13957.5	226095
0	12	1.25445e+09	14922.8	278853
0	14	9.92623e+08	71052.3	220778
0	10	9.48834e+08	48772.4	222165
0	15	8.19984e+08	26599.5	241213
0	18	1.05923e+09	13134.5	245647
0	1	1.07914e+09	11773.5	225575
0	19	1.08523e+09	19056.5	219887
0	16	1.09795e+09	5469.75	231072
0	13	1.11661e+09	6500.76	228648
6	6	1.31163	1.77708e+06	2.25157e-10
6	0	6.38305e+09	113992	1.00636e+06
6	9	7.46488e+09	94466.1	1.03078e+06
6	5	4.63784e+09	148867	931910
6	8	9.13311e+09	44079.4	962787
6	11	6.96953e+09	53330.7	928162
6	2	6.46768e+09	80859.9	904784
6	3	6.85833e+09	76268.5	917258
6	4	7.45755e+09	54183.7	920149
6	7	7.36991e+09	56730.3	914697
6	17	7.03168e+09	46726.2	906187
6	12	6.03132e+09	60633.9	889872
6	14	6.91003e+09	61873.7	886688
6	10	7.94288e+09	32638.2	895030
6	15	6.56998e+09	62561.8	861982
6	18	7.32713e+09	37215.6	878296
6	1	8.89175e+09	33307.4	860772
6	19	8.12895e+09	4534.11	891140
6	16	8.83835e+09	1927.56	891345
6	13	8.99074e+09	4488.96	887391
