"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","p_presence","p_magnitude","direction","p_pres_BH","p_mag_BH"
"all_combined","Ial",121,185,4,0.305785123966942,0.535135135135135,0.0952637756534067,0.178565174867603,9.70465141677792e-05,3.2639329890781e-05,"R>L",0.000388186056671117,0.000114237654617733
"all_combined","Iapl",121,185,4,0.0330578512396694,0.0864864864864865,0.00131775466015787,0.0150413227047438,0.0957007752487748,0.0525551376474035,"R>L",0.127601033665033,0.0618967253463483
"all_combined","Ia/Id",121,185,4,0.669421487603306,0.47027027027027,0.309758090256671,0.258425824915421,0.000663852014848639,0.0165667910133491,"L>R",0.00177027203959637,0.0289918842733609
"all_combined","Iai",121,185,4,0.28099173553719,0.302702702702703,0.0523138533421059,0.0592809287181878,0.702347252988986,0.667797629561515,"R>L",0.802682574844555,0.667797629561515
"all_combined","Pi",121,185,4,0.0743801652892562,0.027027027027027,0.0103358428540731,0.00316725609469115,0.089469620212462,0.0530543360111557,"L>R",0.127601033665033,0.0618967253463483
"all_combined","Ig",121,185,4,0.40495867768595,0.0918918918918919,0.150501315753574,0.0265765978286813,1.16737741756503e-10,7.61435489500717e-11,"L>R",9.33901934052025e-10,5.33004842650502e-10
"all_combined","Iam/Iapm",121,185,4,0.148760330578512,0.0432432432432432,0.0181517610305385,0.00462412559540254,0.00157119400426661,0.00123260442045111,"L>R",0.00314238800853322,0.00287607698105259
"all_combined","Ri",121,185,4,0,0,0,0,1,NA,"R>L",1,NA
"IDD5_plus_IDM","Ial",77,62,1,0.025974025974026,0.0161290322580645,0.0021545579334175,0.00236588714864984,1,0.711135730175071,"R>L",1,0.711135730175071
"IDD5_plus_IDM","Iapl",77,62,1,0,0.0161290322580645,0,0.00230023762622775,0.446043165467626,0.27135452472855,"R>L",0.669655579883919,0.316580278849975
"IDD5_plus_IDM","Ia/Id",77,62,1,0.883116883116883,1,0.450849892219971,0.682776543818839,0.00443212462417181,0.000183395934433121,"R>L",0.0177284984966872,0.000641885770515923
"IDD5_plus_IDM","Iai",77,62,1,0.025974025974026,0,0.00271412020055063,0,0.502241684912939,0.206470657364409,"L>R",0.669655579883919,0.316580278849975
"IDD5_plus_IDM","Pi",77,62,1,0.0779220779220779,0.032258064516129,0.0137383225138603,0.00561320486281561,0.298249540398203,0.259104095618868,"L>R",0.669655579883919,0.316580278849975
"IDD5_plus_IDM","Ig",77,62,1,0.584415584415584,0.161290322580645,0.227664292483711,0.0323540536350633,3.09503744729006e-07,1.61064561037117e-07,"L>R",2.47602995783205e-06,1.12745192725982e-06
