"Soma_Region_Final","n_total","n_L","n_R","mean_intra_L","mean_intra_R","median_intra_L","median_intra_R","p_wilcox","p_BH","direction"
"IA/ID",3,3,0,0.293565417326234,NA,0.209181497421581,NA,NA,NA,NA
"IAL",138,21,117,0.637750904725424,0.452575043897159,0.533440578241037,0.437325624390736,0.0287906970342509,0.0863720911027527,"L>R"
"IAPM",16,16,0,0.43273369013973,NA,0.364504405901364,NA,NA,NA,NA
"IDD5",63,33,30,0.643772261804908,0.647524237515066,0.614104046242775,0.725998625680415,1,1,"R>L"
"IDM",76,44,32,0.726932396197873,0.802252893355037,0.778480092846944,1,0.215456446875411,0.323184670313116,"R>L"
"IDV",3,3,0,0.59614179808905,NA,0.428033918013186,NA,NA,NA,NA
"IG",7,1,6,0.490768659832073,0.480386450669273,0.490768659832073,0.413148331576739,NA,NA,"L>R"
