neuron_id,sample_id,soma_region,neuron_type,total_length,terminal_count,branch_points,max_branch_order,avg_branch_order,avg_branch_length,branch_length_std,x_span,y_span,z_span,bounding_volume,max_distance_from_soma,depth_range,depth_centroid,relative_depth_range,vertical_branch_ratio,horizontal_branch_ratio,avg_terminal_distance,terminal_clustering,cluster
001.swc,251637,"Ial_42",,276537.2484066189,204,197,20,9.820448877805486,689.6190733332148,1081.861514628126,15174.0,5725.599999999999,12436.1,1080451531743.8396,12546.044436793616,12436.1,21982.522615394057,12436.1,0.1,0.9,5643.694763537874,3926.048232034264,0
002.swc,251637,"Ial_42",,6437.395141419798,24,18,8,2.6666666666666665,153.27131289094757,124.03116385021826,777.4000000000015,1068.0999999999983,579.2999999999993,481016506.5419997,1015.23446060504,579.2999999999993,20846.79631336406,579.2999999999993,0.5,0.5,442.48017608820606,267.3019043035671,4
007.swc,251637,"Ial_42",,109881.24716542162,89,79,16,5.857142857142857,654.0550426513192,1528.238993470748,10329.699999999995,16122.1,8831.900000000001,1470833329014.2026,12217.61702338062,8831.900000000001,21922.334736754,8831.900000000001,0.4,0.6,3349.369757313741,3766.6199763546897,0
008.swc,251637,"Ial_42",,121307.96476319664,72,64,13,5.867647058823529,891.9703291411519,2349.0006190003123,18866.1,18625.0,10035.8,3526390568827.5005,24175.91079752736,10035.8,24926.42309096945,10035.8,0.625,0.375,11602.47535588534,10616.642645277503,2
009.swc,251637,"Ial_42",,101507.43666762116,84,76,12,5.3375,634.4214791726321,2012.946410899999,17257.3,18453.399999999998,9198.7,2929379917726.233,25206.950685475626,9198.7,25360.39523212045,9198.7,0.3333333333333333,0.6666666666666666,12120.279694336425,10731.43113106519,2
012.swc,251637,"Iai_41",,222116.570270061,159,150,17,8.35598705501618,718.8238520066698,1072.2407360769869,9712.600000000006,20369.0,11194.5,2214674535558.3013,19561.14166734652,11194.5,26145.271104314223,11194.5,0.7777777777777778,0.2222222222222222,10369.510186401929,7080.773712644141,2
013.swc,251637,"Iai_41",,1010245.488954494,713,700,35,15.37862703467799,714.9649603358051,894.0624421911374,20775.200000000004,31743.7,20334.800000000003,13410428803397.156,32294.04682367944,20334.800000000003,26376.22780333377,20334.800000000003,0.6,0.4,10989.852692190068,5720.947249032657,3
014.swc,251637,"Ial_42",,93818.19223359764,85,76,16,6.894409937888199,582.7216908919111,1900.166869135209,14808.300000000005,18920.6,10498.8,2941573951984.824,21009.97140740558,10498.8,21840.10567493113,10498.8,0.75,0.25,5323.107191991901,7172.497782910651,2
015.swc,251637,"Ial_42",,137809.38196358297,132,124,17,8.2734375,538.3178982952461,1135.878951337973,4755.799999999996,11223.600000000006,11084.25,591646194517.1398,11620.62540485666,11084.25,15416.686965408804,11084.25,0.5,0.5,6550.840686576621,4135.6591323569255,1
016.swc,251637,"Iai_41",,280639.09076787275,180,176,25,10.168539325842696,788.3120527187443,1047.002885082028,14873.299999999996,11686.6,16306.1,2834298708491.457,11526.3919441428,16306.1,20853.990626025326,16306.1,0.8,0.2,7286.108085146506,4702.694482710924,2
018.swc,251637,"Ial_42",,48864.55060845423,66,58,11,4.82258064516129,394.06895651979227,556.7212123395393,2027.0,3661.099999999999,2404.0,17840203478.799995,3637.634992684119,2404.0,20668.6943789248,2404.0,0.3,0.7,1382.6426219842538,813.776637781429,1
039.swc,251637,"Ial_42",,106432.1290797561,126,120,13,6.195121951219512,432.6509312185207,662.0127173601227,8382.599999999999,7608.9000000000015,8879.2,566336376551.088,8231.078965724964,8879.2,22146.531971449676,8879.2,0.0,1.0,3773.074258965464,2475.108418544785,0
