sample_id,ok,output_path
251730,True,D:\projectome_analysis\group_analysis\step1_results\251730_20260427_130355_region_analysis
252383,True,D:\projectome_analysis\group_analysis\step1_results\252383_20260427_130547_region_analysis
252384,True,D:\projectome_analysis\group_analysis\step1_results\252384_20260427_130819_region_analysis
252385,True,D:\projectome_analysis\group_analysis\step1_results\252385_20260427_131131_region_analysis
